Condition,OriginalReadCode,CleansedReadCode,Term
"Disease of arteries, arterioles and capilleries",L19,L19..00,Complications specific to multiple gestation
"Disease of arteries, arterioles and capilleries",L182,L182.00,"Anaemia during pregnancy, childbirth and the puerperium"
"Disease of arteries, arterioles and capilleries",L284,L284.00,Amniotic cavity infection
"Disease of arteries, arterioles and capilleries",L186,L186.00,Other cardiovascular diseases in pregnancy/childbirth/puerp
"Disease of arteries, arterioles and capilleries",L191,L191.00,Continuing pregnancy after abortion of one fetus or more
"Disease of arteries, arterioles and capilleries",L283,L283.00,Prolonged artificial rupture of membranes
"Disease of arteries, arterioles and capilleries",L20,L20..00,Normal delivery in a completely normal case
"Disease of arteries, arterioles and capilleries",4413,4413.00,Blood chemistry abnormal
"Disease of arteries, arterioles and capilleries",6617,6617.00,Chr.disease initial assessment
"Disease of arteries, arterioles and capilleries",72632,7263200,Aspiration of lens
"Disease of arteries, arterioles and capilleries",9561,9561.00,HSA1- form eligible
"Disease of arteries, arterioles and capilleries",6853,6853.00,Ca cervix screen - not wanted
"Disease of arteries, arterioles and capilleries",72491,7249100,Chelation of cornea
"Disease of arteries, arterioles and capilleries",4325,4325.00,Rhesus and Kell blood group phenotyping
"Disease of arteries, arterioles and capilleries",6827,6827.00,AIDS (HTLV-III) screening
"Disease of arteries, arterioles and capilleries",2761,2761.00,O/E - fetal heart not heard
"Disease of arteries, arterioles and capilleries",6356,6356.00,Baby premature 26-28 weeks
"Disease of arteries, arterioles and capilleries",4539,4539.00,60 minute plasma xylose level
"Disease of arteries, arterioles and capilleries",5943,5943.00,Pi-meson therapy
"Disease of arteries, arterioles and capilleries",7111,7111.00,Operations on aberrant thyroid tissue
"Disease of arteries, arterioles and capilleries",1826,1826.00,Parasternal pain
"Disease of arteries, arterioles and capilleries",1517,1517.00,Menses delayed
"Disease of arteries, arterioles and capilleries",9119,9119.00,Patient registered GMS1
"Disease of arteries, arterioles and capilleries",72448,7244800,Excision of pterygium of cornea and corneal graft
"Disease of arteries, arterioles and capilleries",3715,3715.00,Sinus probing
"Disease of arteries, arterioles and capilleries",44430,4443000,Human placental lactogen level normal
"Disease of arteries, arterioles and capilleries",L51,L51..00,Maternal care for other known or suspected fetal problems
"Disease of arteries, arterioles and capilleries",L50,L50..00,Maternal care for compound presentation
"Disease of arteries, arterioles and capilleries",G715,G715.00,Ruptured aortic aneurysm NOS
"Disease of arteries, arterioles and capilleries",G714-1,G714.11,AAA - Abdominal aortic aneurysm without mention of rupture
"Disease of arteries, arterioles and capilleries",G7160,G716000,"Thoracoabdominal aortic aneurysm, without mention of rupture"
"Disease of arteries, arterioles and capilleries",G714,G714.00,Abdominal aortic aneurysm without mention of rupture
"Disease of arteries, arterioles and capilleries",G713,G713.00,Abdominal aortic aneurysm which has ruptured
"Disease of arteries, arterioles and capilleries",G713-1,G713.11,Ruptured abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",G718,G718.00,Leaking abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",G7150,G715000,"Thoracoabdominal aortic aneurysm, ruptured"
"Disease of arteries, arterioles and capilleries",G7130,G713000,Ruptured suprarenal aortic aneurysm
"Disease of arteries, arterioles and capilleries",G7140,G714000,Juxtarenal aortic aneurysm
"Disease of arteries, arterioles and capilleries",7A110,7A11000,Emerg repl aneurysm bifurc aorta by anast aorta to fem art
"Disease of arteries, arterioles and capilleries",7A134,7A13400,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",7A134-1,7A13411,Tube graft abdominal Aortic aneurysm (emergency)
"Disease of arteries, arterioles and capilleries",7A13,7A13.00,Emergency replacement of aneurysmal segment of aorta
"Disease of arteries, arterioles and capilleries",7A133,7A13300,Emerg replace aneurysm infrarenal aorta by anast aorta/aorta
"Disease of arteries, arterioles and capilleries",7A13-1,7A13.11,Emergency repair of aortic aneurysm
"Disease of arteries, arterioles and capilleries",7A112-1,7A11211,Y graft of abdominal Aortic aneurysm (emergency)
"Disease of arteries, arterioles and capilleries",7A112,7A11200,Emerg repl aneurysm bifurc aorta by anast aorta to iliac a
"Disease of arteries, arterioles and capilleries",7A123-2,7A12312,Dacron aortoiliac Y graft
"Disease of arteries, arterioles and capilleries",7A49-1,7A49.11,Reconstruction of common femoral artery
"Disease of arteries, arterioles and capilleries",7A482,7A48200,Bypass femoral artery by fem/pop art anast c vein graft NEC
"Disease of arteries, arterioles and capilleries",7A488,7A48800,Bypass femoral artery by fem/peron a anast c prosthesis NEC
"Disease of arteries, arterioles and capilleries",7A4A0,7A4A000,Repair of femoral artery NEC
"Disease of arteries, arterioles and capilleries",7A497,7A49700,Profundoplasty of popliteal artery NEC
"Disease of arteries, arterioles and capilleries",7A410,7A41000,Emerg bypass iliac art by iliac/femoral art anastomosis NEC
"Disease of arteries, arterioles and capilleries",7A473,7A47300,Emerg bypass pop art by pop/pop art anast c vein graft NEC
"Disease of arteries, arterioles and capilleries",7A413-1,7A41311,Femoro-femoral prosthetic cross over graft
"Disease of arteries, arterioles and capilleries",G73,G73..00,Other peripheral vascular disease
"Disease of arteries, arterioles and capilleries",7A440,7A44000,Percutaneous transluminal angioplasty of iliac artery
"Disease of arteries, arterioles and capilleries",C1071,C107100,"Diabetes mellitus, adult, + peripheral circulatory disorder"
"Disease of arteries, arterioles and capilleries",R0550,R055000,[D]Failure of peripheral circulation
"Disease of arteries, arterioles and capilleries",7A416,7A41600,Emerg bypass leg artery by aorta/com fem art anastomosis NEC
"Disease of arteries, arterioles and capilleries",7A101,7A10100,Bypass aorta by anastomosis axillary to femoral artery NEC
"Disease of arteries, arterioles and capilleries",G7424,G742400,Embolism and thrombosis of the femoral artery
"Disease of arteries, arterioles and capilleries",7A421-1,7A42111,Endarterectomy of common iliac artery NEC
"Disease of arteries, arterioles and capilleries",G731,G731.00,Thromboangiitis obliterans
"Disease of arteries, arterioles and capilleries",C108G,C108G00,Insulin dependent diab mell with peripheral angiopathy
"Disease of arteries, arterioles and capilleries",7A123,7A12300,Bypass bifurcation aorta by anastom aorta to iliac artery
"Disease of arteries, arterioles and capilleries",7A4B3,7A4B300,Percutaneous transluminal embolectomy of popliteal artery
"Disease of arteries, arterioles and capilleries",7A4A3,7A4A300,Open embolectomy popliteal artery
"Disease of arteries, arterioles and capilleries",R0542,R054200,[D]Gangrene of toe in diabetic
"Disease of arteries, arterioles and capilleries",7A471,7A47100,Emerg bypass popliteal art by pop/pop art anast c prosth NEC
"Disease of arteries, arterioles and capilleries",7A430,7A43000,Repair of iliac artery NEC
"Disease of arteries, arterioles and capilleries",7A192,7A19200,Open embolectomy of bifurcation of aorta
"Disease of arteries, arterioles and capilleries",C109F,C109F00,Non-insulin-dependent d m with peripheral angiopath
"Disease of arteries, arterioles and capilleries",7A484,7A48400,Bypass femoral artery by fem/tib art anast c prosthesis NEC
"Disease of arteries, arterioles and capilleries",7A43,7A43.00,Other open operations on iliac artery
"Disease of arteries, arterioles and capilleries",G73-1,G73..11,Peripheral ischaemic vascular disease
"Disease of arteries, arterioles and capilleries",7A431-1,7A43111,Open embolectomy of common iliac artery
"Disease of arteries, arterioles and capilleries",7A123-1,7A12311,Aorto biiliac graft
"Disease of arteries, arterioles and capilleries",M271-2,M271.12,Ischaemic leg ulcer
"Disease of arteries, arterioles and capilleries",C107,C107.00,Diabetes mellitus with peripheral circulatory disorder
"Disease of arteries, arterioles and capilleries",7A49,7A49.00,Reconstruction of femoral artery or popliteal artery
"Disease of arteries, arterioles and capilleries",C1074,C107400,NIDDM with peripheral circulatory disorder
"Disease of arteries, arterioles and capilleries",7A441,7A44100,Percutaneous transluminal embolectomy of iliac artery
"Disease of arteries, arterioles and capilleries",7A501,7A50100,Revision of reconstruction involving iliac artery
"Disease of arteries, arterioles and capilleries",7A41F,7A41F00,Ilio-femoral prosthetic cross over graft
"Disease of arteries, arterioles and capilleries",7A492,7A49200,Endarterectomy of femoral artery NEC
"Disease of arteries, arterioles and capilleries",7A4B2,7A4B200,Percutaneous transluminal embolectomy of femoral artery
"Disease of arteries, arterioles and capilleries",G7320,G732000,Gangrene of toe
"Disease of arteries, arterioles and capilleries",7A49-3,7A49.13,Reconstruction of femoral artery
"Disease of arteries, arterioles and capilleries",7A121-1,7A12111,Aorto bifemoral graft
"Disease of arteries, arterioles and capilleries",7A41C,7A41C00,Bypass leg artery by aorta/deep femoral art anastomosis NEC
"Disease of arteries, arterioles and capilleries",7A48-5,7A48.15,Other bypass of popliteal artery
"Disease of arteries, arterioles and capilleries",7A103,7A10300,Axillo-unifemoral PTFE bypass graft
"Disease of arteries, arterioles and capilleries",14NB,14NB.00,H/O: Peripheral vascular disease procedure
"Disease of arteries, arterioles and capilleries",M2714,M271400,Mixed venous and arterial leg ulcer
"Disease of arteries, arterioles and capilleries",7A42-1,7A42.11,Reconstruction of common iliac artery
"Disease of arteries, arterioles and capilleries",7A419,7A41900,Bypass common iliac artery by aorta/com iliac art anast NEC
"Disease of arteries, arterioles and capilleries",7A498,7A49800,Reconstruction of femoral artery with vein graft
"Disease of arteries, arterioles and capilleries",7A47-5,7A47.15,Other emergency bypass of superficial femoral artery
"Disease of arteries, arterioles and capilleries",G7427,G742700,Embolism and thrombosis of the dorsalis pedis artery
"Disease of arteries, arterioles and capilleries",7A4B8,7A4B800,Percut translum thrombolysis femoral graft streptokinase
"Disease of arteries, arterioles and capilleries",7A4A2-1,7A4A211,Open thrombectomy of femoral artery
"Disease of arteries, arterioles and capilleries",C109F-2,C109F12,Type 2 diabetes mellitus with peripheral angiopathy
"Disease of arteries, arterioles and capilleries",7A421,7A42100,Endarterectomy of iliac artery NEC
"Disease of arteries, arterioles and capilleries",7A50,7A50.00,Revision of reconstruction of artery
"Disease of arteries, arterioles and capilleries",7A412,7A41200,Emerg bypass iliac artery by femoral/femoral art anast NEC
"Disease of arteries, arterioles and capilleries",7A48,7A48.00,Other bypass of femoral artery or popliteal artery
"Disease of arteries, arterioles and capilleries",7A4A7,7A4A700,Repair of femoral artery with temporary silastic shunt
